"Cluster","Gene","Expression"
"g1","Apoe",446.17687002561
"g1","Ftl1",324.499853231352
"g1","Spp1",208.035177049839
"g1","Tmsb4x",193.501532903823
"g1","Ctsb",157.22603118132
"g2","Malat1",472.125356154246
"g2","Cst3",465.667309171167
"g2","Hexb",144.920286120256
"g2","Tmsb4x",135.674345096917
"g2","Ctsd",126.674451690925
"g3","Malat1",611.214571568589
"g3","Cst3",592.090235865474
"g3","Hexb",159.109921123532
"g3","Tmsb4x",127.476228967764
"g3","C1qa",125.138503494703
"g4","Cst3",551.230818340532
"g4","Malat1",338.549264904199
"g4","Hexb",182.432719170868
"g4","Tmsb4x",127.921837726584
"g4","C1qa",125.170663521968
"g5","Tmsb4x",235.361285363125
"g5","Ftl1",215.697375642047
"g5","Apoe",206.19584589407
"g5","Ctsb",94.0725186565874
"g5","Lgmn",93.0391110893266
"g6","Apoe",340.528561065909
"g6","Tmsb4x",204.568335918474
"g6","Ftl1",199.205192917952
"g6","Cst3",146.656256984761
"g6","C1qc",117.09676701611
"g7","Cst3",627.767471707792
"g7","Malat1",563.125979751971
"g7","Hexb",175.471616851888
"g7","Tmsb4x",143.262269820028
"g7","C1qa",129.848988993129
"g8","Apoe",352.936054967301
"g8","Malat1",259.328867507319
"g8","Tmsb4x",196.466317881526
"g8","Cst3",177.803963579421
"g8","Ftl1",143.302739394581
"g9","Cst3",646.72302428827
"g9","Malat1",603.801152470751
"g9","Hexb",166.060263770829
"g9","Tmsb4x",129.289993421209
"g9","C1qa",125.997347929144
